episode,title,beach,bridge,building,bushes,clouds,fence,flowers,fog,framed,grass,lake,mountain,night,ocean,path,river,rocks,snow,sun,tree,waterfall
S03E12,Hidden Lake,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
S03E13,Peaceful Waters,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
S04E01,Purple Splendor,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
S04E02,Tranquil Valley,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0
S04E03,Majestic Mountains,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
S04E04,Winter Sawscape,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0
S04E05,Evening Seascape,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0
S04E06,Warm Summer Day,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
S04E07,Cabin In The Woods,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
S04E08,Wetlands,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
S04E09,Cool Waters,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
S04E10,Quiet Woods,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
S04E11,Northwest Majesty,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
S04E12,Autumn Days,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0
S04E13,Mountain Challenge,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0
S05E01,Mountain Waterfall,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1
S05E02,Twilight Meadow,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
S05E03,Mountain Blossoms,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0
S05E04,Winter Stillness,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
S05E05,Quiet Pond,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
S05E06,Ocean Sunrise,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
S05E07,Bubbling Brook,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0
S05E08,Arizona Splendor,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0
S05E09,Anatomy Of A Wave,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S05E10,The Windmill,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
S05E11,Autumn Glory,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0
S05E13,Meadow Stream,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0
S06E01,Blue River,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0
S06E02,Nature'S Edge,0,0,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0
S06E03,Morning Mist,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0
S06E04,Whispering Stream,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0
S06E05,Secluded Forest,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
S06E06,Snow Trail,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
S06E07,Arctic Beauty,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1
S06E08,Horizons West,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
S06E09,High Chateau,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
S06E10,Country Life,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
S06E11,Western Expanse,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
S06E12,Marshlands,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
S06E13,Blaze Of Color,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0
S07E01,Winter Cabin,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
S07E02,Secluded Lake,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0
S07E03,Evergreens At Sunset,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
S07E04,Mountain Cabin,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
S07E06,Misty Waterfall,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1
S07E07,Barn At Sunset,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
S07E08,Mountain Splendor,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
S07E09,Lake By Mountain,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
S07E10,Mountain Glory,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
S07E11,Grey Winter,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
S07E12,Dock Scene,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
S07E13,Dark Waterfall,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
S08E01,Misty Rolling Hills,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0
S08E02,Lakeside Cabin,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0
S08E03,Warm Winter Day,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0
S08E04,Waterside Way,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0
S08E05,Hunter'S Haven,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0
S08E06,Bubbling Mountain Brook,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0
S08E07,Winter Hideaway,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
S08E08,Foot Of The Mountain,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0
S08E09,Majestic Pine,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
S08E10,Cactus At Sunset,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
S08E11,Mountain Range,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
S08E12,Lonely Retreat,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
S08E13,Northern Lights,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0
S09E01,Winter Evergreens,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0
S09E02,Surf'S Up,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0
S09E03,Red Sunset,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
S09E04,Meadow Road,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0
S09E05,Winter Oval,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0
S09E06,Secluded Beach,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
S09E07,Forest Hills,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0
S09E08,Little House By-The-Road,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
S09E09,Mountain Path,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
S09E10,Country Charm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S09E11,Nature'S Paradise,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0
S09E12,Mountain-By-The-Sea,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
S09E13,Mountain Hide-Away,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0
S10E01,Towering Peaks,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
S10E02,Cabin At Sunset,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
S10E03,Twin Falls,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,1
S10E04,Secluded Bridge,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
S10E05,Ocean Breeze,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
S10E06,Autumn Woods,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
S10E07,Winter Solitude,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
S10E08,Golden Sunset,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0
S10E09,Mountain Oval,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0
S10E10,Ocean Sunset,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
S10E11,Triple View,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0
S10E12,Winter Frost,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0
S10E13,Lakeside Cabin,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0
S11E01,Mountain Stream,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0
S11E02,Country Cabin,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
S11E03,Daisy Delight,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
S11E04,Hidden Stream,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
S11E05,Towering Glacier,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,1
S11E06,Oval Barn,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
S11E07,Lakeside Path,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0
S11E08,Sunset Oval,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0
S11E09,Winter Barn,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
S11E10,Sunset Over The Waves,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
S11E11,Golden Glow,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1
S11E12,Roadside Barn,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
S11E13,Happy Accident,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0
S12E01,Golden Knoll,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0
S12E02,Mountain Reflections,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0
S12E03,Secluded Mountain,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0
S12E04,Bright Autumn Trees,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
S12E05,Black Seascape,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
S12E06,Steep Mountains,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0
S12E07,Quiet Mountain River,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0
S12E08,Evening Waterfall,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1
S12E09,Tropical Seascape,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
S12E10,Mountain At Sunset,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0
S12E11,Soft Mountain Glow,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0
S12E12,Mountain In An Oval,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,1,0,0,1,1,0
S12E13,Winter Mountain,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0
S13E01,Rolling Hills,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0
S13E02,Frozen Solitude,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0
S13E03,Meadow Brook,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0
S13E04,Evening At Sunset,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
S13E05,Mountain View,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0
S13E06,Hidden Creek,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
S13E07,Peaceful Haven,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
S13E08,Mountain Exhibition,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0
S13E09,Emerald Waters,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
S13E10,Mountain Summit,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
S13E11,Cabin Hideaway,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0
S13E12,Oval Essence,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0
S13E13,Lost Lake,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0
S14E01,Distant Mountains,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0
S14E02,Meadow Brook Surprise,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
S14E03,Mountain Moonlight Oval,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0
S14E04,Snowy Solitude,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
S14E05,Mountain River,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0
S14E06,Graceful Mountains,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
S14E07,Windy Waves,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
S14E08,On A Clear Day,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0
S14E09,Riverside Escape Oval,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0
S14E10,Surprising Falls,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1
S14E11,Shadow Pond,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
S14E12,Misty Forest Oval,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0
S14E13,Natural Wonder,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0
S15E01,Splendor Of Winter,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
S15E02,Colors Of Nature,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
S15E03,Grandpa'S Barn,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
S15E04,Peaceful Reflections,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S15E05,Hidden Winter Moon Oval,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0
S15E06,Waves Of Wonder,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
S15E07,Cabin By The Pond,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
S15E08,Fall Stream,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0
S15E09,Christmas Eve Snow,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
S15E10,Forest Dawn Oval,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0
S15E11,Pathway To Autumn,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
S15E12,Deep Forest Lake,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
S15E13,Peaks Of Majesty,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0
S16E01,Two Seasons,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0
S16E02,Nestled Cabin,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
S16E03,Wintertime Discovery,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
S16E04,Mountain Mirage,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
S16E05,Double Oval Fantasy,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0
S16E07,Deep Woods,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1
S16E08,High Tide,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
S16E09,Barn In Snow Oval,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
S16E10,That Time Of Year,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
S16E11,Waterfall Wonder,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1
S16E12,Mighty Mountain Lake,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0
S16E13,Wooded Stream Oval,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0
S17E01,Golden Mist Oval,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0
S17E02,The Old Home Place,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
S17E03,Soothing Vista,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0
S17E04,Stormy Seas,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
S17E05,Country Time,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0
S17E06,A Mild Winter'S Day,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
S17E07,Spectacular Waterfall,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1
S17E08,View From The Park,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
S17E09,Lake View,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0
S17E10,Old Country Mill,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1
S17E11,Morning Walk,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
S17E12,Nature'S Splendor,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0
S17E13,Mountain Beauty,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0
S18E01,Half-Oval Vignette,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0
S18E02,Absolutely Autumn,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
S18E03,Mountain Seclusion,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0
S18E04,Crimson Oval,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1
S18E05,Autumn Exhibition,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
S18E06,Majestic Peaks,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
S18E07,Golden Morning Mist,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
S18E08,Winter Lace,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0
S18E09,Seascape Fantasy,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S18E10,Double Oval Stream,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
S18E11,Enchanted Forest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
S18E12,Southwest Serenity,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
S18E13,Rippling Waters,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1
S19E01,Snowfall Magic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
S19E02,Quiet Mountain Lake,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0
S19E03,Final Embers Of Sunlight,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0
S19E04,Snowy Morn,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
S19E05,Camper'S Haven,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0
S19E06,Waterfall In The Woods,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1
S19E07,Covered Bridge Oval,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0
S19E08,Scenic Seclusion,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1
S19E09,Ebb Tide,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
S19E10,After The Rain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
S19E11,Winter'S Elegance,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0
S19E12,Evening'S Peace,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
S19E13,Valley Of Tranquility,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1
S20E01,Mystic Mountain,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
S20E02,New Day'S Dawn,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0
S20E03,Pastel Winter,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
S20E04,Hazy Day,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0
S20E05,Divine Elegance,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0
