,episode,title,beach,bridge,building,bushes,clouds,fence,flowers,fog,framed,grass,lake,mountain,night,ocean,path,river,rocks,snow,sun,tree,waterfall
19,S02E07,Brown Mountain,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0
20,S02E08,Reflections,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
21,S02E09,Black & White Seascape,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0
22,S02E10,Lazy River,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
23,S02E11,Black Waterfall,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1
24,S02E12,Mountain Waterfall,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1
25,S02E13,Final Grace,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
26,S03E01,Mountain Retreat,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
27,S03E02,Blue Moon,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
28,S03E03,Bubbling Stream,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0
29,S03E04,Winter Night,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
30,S03E05,Distant Hills,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
31,S03E06,Covered Bridge,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
32,S03E07,Quiet Inlet,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
33,S03E08,Night Light,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
34,S03E09,The Old Mill,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
35,S03E10,Campfire,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
36,S03E11,Rustic Barn,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
37,S03E12,Hidden Lake,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
38,S03E13,Peaceful Waters,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
39,S04E01,Purple Splendor,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
40,S04E02,Tranquil Valley,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0
41,S04E03,Majestic Mountains,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
42,S04E04,Winter Sawscape,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0
43,S04E05,Evening Seascape,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0
44,S04E06,Warm Summer Day,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
45,S04E07,Cabin In The Woods,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
46,S04E08,Wetlands,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
47,S04E09,Cool Waters,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
48,S04E10,Quiet Woods,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
49,S04E11,Northwest Majesty,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
50,S04E12,Autumn Days,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0
51,S04E13,Mountain Challenge,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0
52,S05E01,Mountain Waterfall,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1
53,S05E02,Twilight Meadow,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
54,S05E03,Mountain Blossoms,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0
55,S05E04,Winter Stillness,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
56,S05E05,Quiet Pond,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
57,S05E06,Ocean Sunrise,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
58,S05E07,Bubbling Brook,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0
59,S05E08,Arizona Splendor,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0
60,S05E09,Anatomy Of A Wave,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
61,S05E10,The Windmill,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
62,S05E11,Autumn Glory,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0
64,S05E13,Meadow Stream,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0
65,S06E01,Blue River,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0
66,S06E02,Nature'S Edge,0,0,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0
67,S06E03,Morning Mist,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0
68,S06E04,Whispering Stream,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0
69,S06E05,Secluded Forest,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
70,S06E06,Snow Trail,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
71,S06E07,Arctic Beauty,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1
72,S06E08,Horizons West,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
73,S06E09,High Chateau,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
74,S06E10,Country Life,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
75,S06E11,Western Expanse,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
76,S06E12,Marshlands,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
77,S06E13,Blaze Of Color,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0
78,S07E01,Winter Cabin,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
79,S07E02,Secluded Lake,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0
80,S07E03,Evergreens At Sunset,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
81,S07E04,Mountain Cabin,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
83,S07E06,Misty Waterfall,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1
84,S07E07,Barn At Sunset,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
85,S07E08,Mountain Splendor,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
86,S07E09,Lake By Mountain,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
87,S07E10,Mountain Glory,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
88,S07E11,Grey Winter,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
89,S07E12,Dock Scene,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
90,S07E13,Dark Waterfall,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
91,S08E01,Misty Rolling Hills,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0
92,S08E02,Lakeside Cabin,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0
93,S08E03,Warm Winter Day,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0
94,S08E04,Waterside Way,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0
95,S08E05,Hunter'S Haven,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0
96,S08E06,Bubbling Mountain Brook,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0
97,S08E07,Winter Hideaway,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
98,S08E08,Foot Of The Mountain,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0
99,S08E09,Majestic Pine,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
100,S08E10,Cactus At Sunset,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
101,S08E11,Mountain Range,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
102,S08E12,Lonely Retreat,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
103,S08E13,Northern Lights,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0
104,S09E01,Winter Evergreens,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0
105,S09E02,Surf'S Up,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0
106,S09E03,Red Sunset,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
107,S09E04,Meadow Road,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0
108,S09E05,Winter Oval,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0
109,S09E06,Secluded Beach,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
110,S09E07,Forest Hills,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0
111,S09E08,Little House By-The-Road,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
112,S09E09,Mountain Path,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
113,S09E10,Country Charm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,S09E11,Nature'S Paradise,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0
115,S09E12,Mountain-By-The-Sea,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
116,S09E13,Mountain Hide-Away,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0
117,S10E01,Towering Peaks,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
118,S10E02,Cabin At Sunset,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
119,S10E03,Twin Falls,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,1
120,S10E04,Secluded Bridge,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
121,S10E05,Ocean Breeze,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
122,S10E06,Autumn Woods,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
123,S10E07,Winter Solitude,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
124,S10E08,Golden Sunset,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0
125,S10E09,Mountain Oval,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0
126,S10E10,Ocean Sunset,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
127,S10E11,Triple View,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0
128,S10E12,Winter Frost,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0
129,S10E13,Lakeside Cabin,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0
130,S11E01,Mountain Stream,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0
131,S11E02,Country Cabin,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
132,S11E03,Daisy Delight,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
133,S11E04,Hidden Stream,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
134,S11E05,Towering Glacier,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,1
135,S11E06,Oval Barn,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
136,S11E07,Lakeside Path,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0
137,S11E08,Sunset Oval,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0
138,S11E09,Winter Barn,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
139,S11E10,Sunset Over The Waves,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
140,S11E11,Golden Glow,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1
141,S11E12,Roadside Barn,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
142,S11E13,Happy Accident,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0
143,S12E01,Golden Knoll,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0
144,S12E02,Mountain Reflections,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0
145,S12E03,Secluded Mountain,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0
146,S12E04,Bright Autumn Trees,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
147,S12E05,Black Seascape,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
148,S12E06,Steep Mountains,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0
149,S12E07,Quiet Mountain River,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0
150,S12E08,Evening Waterfall,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1
151,S12E09,Tropical Seascape,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
152,S12E10,Mountain At Sunset,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0
153,S12E11,Soft Mountain Glow,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0
154,S12E12,Mountain In An Oval,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,1,0,0,1,1,0
155,S12E13,Winter Mountain,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0
156,S13E01,Rolling Hills,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0
157,S13E02,Frozen Solitude,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0
158,S13E03,Meadow Brook,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0
159,S13E04,Evening At Sunset,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
160,S13E05,Mountain View,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0
161,S13E06,Hidden Creek,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
162,S13E07,Peaceful Haven,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
163,S13E08,Mountain Exhibition,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0
164,S13E09,Emerald Waters,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
165,S13E10,Mountain Summit,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
166,S13E11,Cabin Hideaway,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0
167,S13E12,Oval Essence,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0
168,S13E13,Lost Lake,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0
169,S14E01,Distant Mountains,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0
170,S14E02,Meadow Brook Surprise,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
171,S14E03,Mountain Moonlight Oval,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0
172,S14E04,Snowy Solitude,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
173,S14E05,Mountain River,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0
174,S14E06,Graceful Mountains,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
175,S14E07,Windy Waves,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
176,S14E08,On A Clear Day,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0
177,S14E09,Riverside Escape Oval,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0
178,S14E10,Surprising Falls,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1
179,S14E11,Shadow Pond,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
180,S14E12,Misty Forest Oval,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0
181,S14E13,Natural Wonder,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0
182,S15E01,Splendor Of Winter,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
183,S15E02,Colors Of Nature,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
184,S15E03,Grandpa'S Barn,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
185,S15E04,Peaceful Reflections,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
186,S15E05,Hidden Winter Moon Oval,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0
187,S15E06,Waves Of Wonder,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
188,S15E07,Cabin By The Pond,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
189,S15E08,Fall Stream,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0
190,S15E09,Christmas Eve Snow,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
191,S15E10,Forest Dawn Oval,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0
192,S15E11,Pathway To Autumn,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
193,S15E12,Deep Forest Lake,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
194,S15E13,Peaks Of Majesty,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0
195,S16E01,Two Seasons,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0
196,S16E02,Nestled Cabin,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
197,S16E03,Wintertime Discovery,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
198,S16E04,Mountain Mirage,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
199,S16E05,Double Oval Fantasy,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0
201,S16E07,Deep Woods,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1
202,S16E08,High Tide,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
203,S16E09,Barn In Snow Oval,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
204,S16E10,That Time Of Year,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
205,S16E11,Waterfall Wonder,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1
206,S16E12,Mighty Mountain Lake,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0
207,S16E13,Wooded Stream Oval,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0
208,S17E01,Golden Mist Oval,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0
209,S17E02,The Old Home Place,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
210,S17E03,Soothing Vista,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0
211,S17E04,Stormy Seas,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
212,S17E05,Country Time,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0
213,S17E06,A Mild Winter'S Day,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
214,S17E07,Spectacular Waterfall,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1
215,S17E08,View From The Park,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
216,S17E09,Lake View,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0
217,S17E10,Old Country Mill,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1
218,S17E11,Morning Walk,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
219,S17E12,Nature'S Splendor,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0
220,S17E13,Mountain Beauty,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0
221,S18E01,Half-Oval Vignette,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0
222,S18E02,Absolutely Autumn,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
223,S18E03,Mountain Seclusion,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0
224,S18E04,Crimson Oval,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1
225,S18E05,Autumn Exhibition,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
226,S18E06,Majestic Peaks,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
227,S18E07,Golden Morning Mist,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
228,S18E08,Winter Lace,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0
229,S18E09,Seascape Fantasy,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
230,S18E10,Double Oval Stream,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
231,S18E11,Enchanted Forest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
232,S18E12,Southwest Serenity,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
233,S18E13,Rippling Waters,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1
234,S19E01,Snowfall Magic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
235,S19E02,Quiet Mountain Lake,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0
236,S19E03,Final Embers Of Sunlight,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0
237,S19E04,Snowy Morn,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
238,S19E05,Camper'S Haven,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0
239,S19E06,Waterfall In The Woods,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1
240,S19E07,Covered Bridge Oval,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0
241,S19E08,Scenic Seclusion,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1
242,S19E09,Ebb Tide,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
